Korean,IPA
ㄱ,k
ㄲ,k*
ㄱ,g
ㄲ,g*
ㄴ,n
ㄷ,d
ㄸ,d*
ㄷ,t
ㄸ,t*
ㄹ,l
ㄹ,ɾ
ㅁ,m
ㅂ,b
ㅃ,b*
ㅂ,p
ㅃ,p*
ㅅ,s
ㅆ,s*
ㅇ,ŋ
ㅈ,dʑ
ㅉ,dʑ*
ㅊ,dʑʰ
ㅈ,tɕ
ㅉ,tɕ*
ㅊ,tɕʰ
ㅋ,kʰ
ㅋ,gʰ
ㅌ,dʰ
ㅌ,tʰ
ㅍ,bʰ
ㅍ,pʰ
ㅎ,h
ㅏ,ɑ
ㅏ,a
ㅐ,ɛ
ㅑ,ja
ㅒ,jɛ
ㅓ,ʌ
ㅔ,ɛ
ㅕ,jʌ
ㅖ,jɛ
ㅗ,o
ㅘ,wa
ㅙ,wɛ
ㅚ,wɛ
ㅛ,jo
ㅜ,u
ㅝ,wʌ
ㅞ,wɛ
ㅟ,wi
ㅠ,ju
ㅡ,ɯ
ㅢ,ɰi
ㅣ,i
