korean,picture_path_1,picture_path_2
ㄱ,../pic/자음/
ㄲ,../pic/자음/
ㄴ,../pic/자음/
ㄷ,../pic/자음/
ㄸ,../pic/자음/
ㄹ,../pic/자음/
ㅁ,../pic/자음/
ㅂ,../pic/자음/
ㅃ,../pic/자음/
ㅅ,../pic/자음/
ㅆ,../pic/자음/
ㅇ,../pic/자음/
ㅈ,../pic/자음/
ㅉ,../pic/자음/
ㅊ,../pic/자음/
ㅋ,../pic/자음/
ㅌ,../pic/자음/
ㅍ,../pic/자음/
ㅎ,../pic/자음/
ㅏ,../pic/모음/ㅏ.png,../pic/모음/AA-ㅏ.png
ㅐ,../pic/모음/
ㅑ,../pic/모음/
ㅒ,../pic/모음/
ㅓ,../pic/모음/ㅓㅗ.png
ㅔ,../pic/모음/ㅔ.png
ㅕ,../pic/모음/
ㅖ,../pic/모음/
ㅗ,../pic/모음/ㅓㅗ.png
ㅘ,../pic/모음/
ㅙ,../pic/모음/
ㅚ,../pic/모음/
ㅛ,../pic/모음/
ㅜ,../pic/모음/ㅡㅜ반모음W.png
ㅝ,../pic/모음/
ㅞ,../pic/모음/
ㅟ,../pic/모음/
ㅠ,../pic/모음/
ㅡ,../pic/모음/ㅡㅜ반모음W.png
ㅢ,../pic/모음/
ㅣ,../pic/모음/ㅣ반모음J.png
